;"""N";Date;Time;N [Decimal degrees];E [Decimal degrees];GPS uncertainty [m];h [m];Location provider;D [Î¼Sv/h];Standard deviation;Standard error of the mean value;CF;"Number of measured points""."
39645;"""2173";2021-06-30;12:50:13;46.6;16.3;3.79;219.246;gps;0.05;0;0;0;"1""."
53558;"""609";2022-05-28;18:18:40;46.5;15.8;3.79;295.096;gps;0.062;0;0;0;"1""."
5015;"""5016";2021-09-06;11:12:28;45.9;15.4;3.79;209.193;gps;0.072;0;0;0;"1""."
4149;"""4150";2021-09-06;10:44:02;45.9;14.9;3.79;389.977;gps;0.074;0;0;0;"1""."
54420;"""1471";2022-05-28;18:33:03;46.4;15.5;9.935;344.047;gps;0.076;0;0;0;"1""."
7020;"""7021";2021-09-06;12:17:47;46.0;15.5;3.79;208.579;gps;0.078;0;0;0;"1""."
4484;"""4485";2021-09-06;10:54:59;45.8;15.1;3.79;331.741;gps;0.078;0;0;0;"1""."
4599;"""4600";2021-09-06;10:58:47;45.8;15.2;9.935;234.225;gps;0.08;0;0;0;"1""."
53045;"""96";2022-05-28;18:09:41;46.4;15.9;3.79;267.407;gps;0.08;0;0;0;"1""."
42139;"""1469";2021-06-29;12:40:19;46.2;15.2;52.4;300.5;network;0.08;0;0;0;"1""."
55063;"""2114";2022-05-28;18:44:43;46.3;15.3;9.935;303.369;gps;0.08;0;0;0;"1""."
55926;"""2977";2022-05-28;18:59:07;46.3;15.0;3.79;396.548;gps;0.081;0;0;0;"1""."
4449;"""4450";2021-09-06;10:53:50;45.9;15.1;10.622;288.216;gps;0.081;0;0;0;"1""."
46672;"""825";2021-09-23;05:56:54;46.2;14.6;3.79;350.944;gps;0.082;0;0;0;"1""."
43847;"""1706";2022-06-06;10:43:40;45.9;15.0;3.79;348.619;gps;0.083;0;0;0;"1""."
53977;"""1028";2022-05-28;18:25:40;46.5;15.6;3.79;314.424;gps;0.083;0;0;0;"1""."
4653;"""4654";2021-09-06;11:00:34;45.9;15.2;3.79;211.04;gps;0.084;0;0;0;"1""."
3965;"""3966";2021-09-06;10:38:00;45.9;14.8;3.79;382.943;gps;0.085;0;0;0;"1""."
3911;"""3912";2021-09-06;10:36:13;46.0;14.8;3.79;401.181;gps;0.086;0;0;0;"1""."
4688;"""4689";2021-09-06;11:01:43;45.9;15.3;3.79;200.967;gps;0.087;0;0;0;"1""."
56401;"""3452";2022-05-28;19:10:54;46.2;14.8;3.79;489.782;gps;0.089;0;0;0;"1""."
47714;"""1867";2021-09-23;06:30:55;46.3;15.1;3.79;321.68;gps;0.09;0;0;0;"1""."
56238;"""3289";2022-05-28;19:05:54;46.2;14.9;3.79;557.349;gps;0.091;0;0;0;"1""."
55134;"""2185";2022-05-28;18:45:54;46.2;15.3;3.79;293.676;gps;0.091;0;0;0;"1""."
3525;"""3526";2021-09-06;10:23:38;46.0;14.6;3.79;354.428;gps;0.091;0;0;0;"1""."
56698;"""3749";2022-05-28;19:15:54;46.2;14.7;3.79;386.252;gps;0.091;0;0;0;"1""."
64762;"""5816";2021-12-21;11:17:49;46.1;14.5;1700;0;network;0.092;0;0;0;"1""."
50074;"""4227";2021-09-23;07:48:12;46.7;15.9;9.935;295.316;gps;0.093;0;0;0;"1""."
56032;"""3083";2022-05-28;19:00:54;46.2;15.0;3.79;390.583;gps;0.094;0;0;0;"1""."
54591;"""1642";2022-05-28;18:35:54;46.3;15.5;9.935;346.994;gps;0.095;0;0;0;"1""."
49944;"""4097";2021-09-23;07:43:59;46.6;15.9;9.935;293.48;gps;0.096;0;0;0;"1""."
55433;"""2484";2022-05-28;18:50:54;46.3;15.2;3.79;310.66;gps;0.096;0;0;0;"1""."
49256;"""3409";2021-09-23;07:21:24;46.6;15.7;3.79;302.683;gps;0.096;0;0;0;"1""."
3776;"""3777";2021-09-06;10:31:49;46.0;14.7;3.79;393.489;gps;0.098;0;0;0;"1""."
54834;"""1885";2022-05-28;18:40:54;46.3;15.4;9.935;380.167;gps;0.099;0;0;0;"1""."
50336;"""4489";2021-09-23;07:56:45;46.7;16.0;9.935;252.547;gps;0.103;0;0;0;"1""."
49773;"""3926";2021-09-23;07:38:23;46.6;15.8;3.956;307.819;gps;0.103;0;0;0;"1""."
61721;"""2775";2021-12-21;10:27:07;46.1;14.4;82.5;378.1;network;0.104;0;0;0;"1""."
53692;"""743";2022-05-28;18:20:54;46.5;15.7;3.79;305.379;gps;0.105;0;0;0;"1""."
53991;"""1042";2022-05-28;18:25:54;46.4;15.6;3.79;321.281;gps;0.117;0;0;0;"1""."
52707;"""2294";2021-06-30;08:59:08;46.5;14.9;3.79;553.673;gps;0.117;0;0;0;"1""."
53392;"""443";2022-05-28;18:15:54;46.4;15.8;3.79;281.733;gps;0.12;0;0;0;"1""."
17380;"""3381";2021-09-08;09:59:22;45.9;15.5;1399.999;0;network;0.127;0;0;0;"1""."
35615;"""34";2021-06-29;08:35:29;45.9;15.6;3.79;218.843;gps;0.127;0;0;0;"1""."
39926;"""2454";2021-06-30;12:55:09;46.6;16.4;3.79;224.714;gps;0.139;0;0;0;"1""."
57866;"""2";2022-01-13;09:25:38;46.0;14.5;0;0;averaged;0.54;0.015;0.001;0;"227""."
40586;"""333";2021-09-22;10:54:22;46.1;14.6;9.935;333.435;gps;1.417;0;0;0;"1""."
